Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%,Unnamed: 0,start_year,team_id,team_name,id,primary_number,birth_date,current_age,birth_city,birth_state_province,birth_country,nationality,height,weight,active,alternate_captain,captain,rookie,shoots_catches,roster_status,position_name,position_type,position_abbreviation
507,Maxim Mamin,FLA,26,F,40,7,7,14,13,8.0,11:54,11:48,0:05,0:00,7,0,0,0,0,7.0,0.0,0.0,2.0,0.0,14.0,0.0,0.0,2,0,0.0%,0.882,0.882,1.764,0.889,0.889,1.778,0.0,0.0,0.0,0.175,0.175,0.35,49.0,14.3%,59.0,17.0,0.0,2.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
515,Jacob Middleton,MIN,25,D,66,4,10,14,82,10.0,18:41,16:53,0:10,1:36,4,0,0,0,0,8.0,1.0,1.0,0.0,0.0,12.0,1.0,1.0,0,0,7.1%,0.195,0.487,0.681,0.215,0.43,0.646,0.0,5.092,5.092,0.061,0.152,0.212,73.0,5.5%,118.0,124.0,0.0,0.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
525,Erik Brännström,OTT,22,D,53,0,14,14,30,-17.0,19:46,16:52,2:07,0:46,0,0,0,0,0,8.0,6.0,0.0,4.0,1.0,8.0,6.0,0.0,4,1,42.9%,0.0,0.802,0.802,0.0,0.537,0.537,0.0,3.205,3.205,0.0,0.264,0.264,86.0,0.0%,39.0,59.0,0.0,0.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
528,Nick Deslauriers,MIN,30,F,81,8,5,13,113,-11.0,11:21,10:07,0:01,1:13,7,0,1,1,0,5.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,1,0,0.0%,0.521,0.326,0.847,0.512,0.366,0.879,0.0,0.0,0.0,0.099,0.062,0.16,90.0,8.9%,263.0,49.0,1.0,3.0,25.00%,,,,,,,,,,,,,,,,,,,,,,,
544,Gustav Lindström,DET,23,D,63,1,12,13,22,-12.0,16:06,14:48,0:02,1:15,1,0,0,0,0,12.0,0.0,0.0,1.0,0.0,13.0,0.0,0.0,1,0,0.0%,0.059,0.709,0.768,0.064,0.771,0.836,0.0,0.0,0.0,0.016,0.19,0.206,41.0,2.4%,59.0,77.0,0.0,0.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
545,Dylan Demelo,WPG,28,D,76,1,12,13,28,10.0,18:29,15:51,0:01,2:36,0,0,1,0,0,11.0,0.0,1.0,0.0,0.0,11.0,0.0,2.0,0,0,0.0%,0.043,0.512,0.555,0.0,0.548,0.548,0.0,0.0,0.0,0.013,0.158,0.171,78.0,1.3%,113.0,108.0,0.0,0.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
546,Gerald Mayhew,ANA,29,F,40,11,1,12,18,-6.0,13:10,12:14,0:55,0:00,10,1,0,0,0,1.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0,0,8.3%,1.252,0.114,1.366,1.225,0.123,1.348,1.611,0.0,1.611,0.275,0.025,0.3,53.0,20.8%,58.0,26.0,3.0,7.0,30.00%,,,,,,,,,,,,,,,,,,,,,,,
547,Nathan Walker,STL,27,F,30,8,4,12,2,1.0,11:32,11:30,0:00,0:01,8,0,0,2,0,4.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,2,0,0.0%,1.386,0.693,2.079,1.391,0.696,2.087,0.0,0.0,0.0,0.267,0.133,0.4,38.0,21.1%,58.0,22.0,8.0,15.0,34.78%,,,,,,,,,,,,,,,,,,,,,,,
548,Parker Kelly,OTT,22,F,41,7,5,12,60,-4.0,10:34,9:36,0:03,0:54,7,0,0,0,0,5.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0,0,0.0%,0.969,0.692,1.661,1.066,0.762,1.828,0.0,0.0,0.0,0.171,0.122,0.293,48.0,14.6%,131.0,30.0,0.0,2.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
553,Laurent Dauphin,MTL,26,F,38,4,8,12,25,-10.0,13:17,11:59,0:10,1:07,4,0,0,0,0,8.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0,0,0.0%,0.475,0.95,1.425,0.527,1.053,1.58,0.0,0.0,0.0,0.105,0.211,0.316,50.0,8.0%,31.0,27.0,104.0,143.0,42.11%,,,,,,,,,,,,,,,,,,,,,,,
554,Dysin Mayo,ARI,25,D,67,4,8,12,27,-22.0,20:54,17:54,0:03,2:57,4,0,0,0,0,8.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0,0,0.0%,0.171,0.343,0.514,0.2,0.4,0.6,0.0,0.0,0.0,0.06,0.119,0.179,76.0,5.3%,129.0,133.0,0.0,0.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
556,Jani Hakanpää,DAL,29,D,80,4,8,12,43,1.0,16:12,13:54,0:02,2:16,4,0,0,0,0,7.0,0.0,1.0,1.0,0.0,11.0,0.0,1.0,1,0,0.0%,0.185,0.37,0.555,0.216,0.378,0.593,0.0,0.0,0.0,0.05,0.1,0.15,68.0,5.9%,248.0,112.0,0.0,0.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
562,Emil Bemström,CBJ,22,F,41,6,5,11,4,-1.0,10:31,9:25,1:05,0:00,6,0,0,1,0,5.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1,0,0.0%,0.835,0.695,1.53,0.932,0.776,1.708,0.0,0.0,0.0,0.146,0.122,0.268,62.0,9.7%,36.0,6.0,2.0,2.0,50.00%,,,,,,,,,,,,,,,,,,,,,,,
564,Jasper Weatherby,SJS,23,F,50,5,6,11,18,-14.0,11:14,9:58,1:11,0:05,4,1,0,0,0,5.0,1.0,0.0,2.0,0.0,9.0,2.0,0.0,2,0,18.2%,0.534,0.641,1.174,0.481,0.602,1.083,1.01,1.01,2.021,0.1,0.12,0.22,45.0,11.1%,52.0,24.0,173.0,168.0,50.73%,,,,,,,,,,,,,,,,,,,,,,,
565,Michael Pezzetta,MTL,23,F,51,5,6,11,81,-7.0,7:50,7:43,0:06,0:00,5,0,0,0,0,6.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,1,0,0.0%,0.751,0.901,1.652,0.762,0.914,1.676,0.0,0.0,0.0,0.098,0.118,0.216,49.0,10.2%,156.0,8.0,6.0,5.0,54.55%,,,,,,,,,,,,,,,,,,,,,,,
567,Logan Brown,STL,23,F,39,4,7,11,8,-3.0,10:11,9:47,0:22,0:02,4,0,0,0,0,6.0,1.0,0.0,1.0,0.0,10.0,1.0,0.0,1,0,9.1%,0.604,1.057,1.661,0.629,0.943,1.572,0.0,4.162,4.162,0.103,0.179,0.282,34.0,11.8%,22.0,13.0,66.0,102.0,39.29%,,,,,,,,,,,,,,,,,,,,,,,
569,Braden Schneider,NYR,20,D,43,2,9,11,9,5.0,15:28,14:52,0:05,0:30,2,0,0,0,0,8.0,1.0,0.0,0.0,0.0,10.0,1.0,0.0,0,0,9.1%,0.18,0.811,0.992,0.188,0.75,0.938,0.0,16.143,16.143,0.047,0.209,0.256,25.0,8.0%,60.0,52.0,0.0,0.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
572,Matthew Benning,NSH,27,D,65,0,11,11,39,-24.0,16:20,14:06,0:01,2:11,0,0,0,0,0,11.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,1,0,0.0%,0.0,0.622,0.622,0.0,0.719,0.719,0.0,0.0,0.0,0.0,0.169,0.169,61.0,0.0%,82.0,67.0,0.0,0.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
574,Vinni Lettieri,ANA,26,F,31,5,5,10,6,-8.0,12:30,10:50,1:39,0:00,3,2,0,0,0,2.0,3.0,0.0,1.0,0.0,5.0,5.0,0.0,1,0,50.0%,0.773,0.773,1.546,0.536,0.357,0.893,2.335,3.502,5.837,0.161,0.161,0.323,50.0,10.0%,40.0,17.0,12.0,11.0,52.17%,,,,,,,,,,,,,,,,,,,,,,,
